org,role,view,activity,context,theft,accident,max speed,bad places,auto pilot,delay,max km,respect road signs,weather,proba,decision
GK EZF,q YLK,TYI,UF69,EJPZ,probable,improbable,no,yes,never,no,no,no,windy,0.06,permitted
FW SXS,h FAA,TRP,UH34,UNUM,probable,improbable,no,yes,sometimes,no,no,yes,cloudy,0.1,permitted
caraccess,vip,luxe,a2,peak,improbable,improbable,yes,no,always,yes,no,yes,windy,0.6,denied
BA BQS,e ZVY,DMM,PN38,INHD,improbable,improbable,no,no,always,no,yes,no,cloudy,0.82,permitted
CI IWV,m OBX,UHA,ZH77,EKYE,improbable,probable,no,yes,always,yes,yes,yes,stormy,0.38,permitted
SH IXL,u MWR,QRF,XP19,BFYM,probable,improbable,yes,no,never,yes,yes,no,cloudy,0.46,permitted
YB HTG,a MJI,GUS,TE13,BLFZ,probable,improbable,yes,yes,never,no,no,no,windy,0.19,permitted
GG ITC,v QOG,YJE,MB46,DAML,improbable,improbable,no,no,never,yes,no,yes,stormy,0.47,permitted
EH KOW,s AXN,DZC,EB88,GWUD,probable,improbable,no,yes,never,no,yes,no,stormy,0.62,permitted
police,blacklisted,normal,a2,off,probable,probable,yes,yes,sometimes,no,no,no,cloudy,0.17,denied
HS WYN,v AGA,SKL,HT16,DJZO,probable,probable,yes,no,always,no,no,yes,sunny,0.35,permitted
QB HTU,k UFZ,EJY,HS83,MSWT,probable,improbable,no,no,sometimes,yes,yes,yes,sunny,0.56,permitted
VJ ZEJ,z MUG,PXO,KW79,QWKE,improbable,improbable,yes,no,sometimes,no,yes,yes,sunny,0.13,permitted
ZR YRF,x OKM,KKI,PQ82,LQYO,improbable,improbable,yes,yes,always,no,no,no,stormy,0.42,permitted
JZ ZRI,e AVT,MAA,UY99,LWWO,improbable,improbable,no,yes,sometimes,yes,no,no,cloudy,0.44,permitted
HZ WAE,h QAP,YOV,AM15,JYXI,improbable,improbable,no,no,never,no,yes,yes,windy,0.45,permitted
QS LVR,s DTO,JJX,XP08,PHTS,improbable,probable,yes,yes,never,yes,yes,yes,sunny,0.75,permitted
IR LTS,l UQS,HPZ,OM20,IVQG,probable,probable,yes,yes,never,yes,no,no,cloudy,0.95,permitted
police,normal,normal,a1,off,probable,probable,no,yes,never,no,yes,yes,sunny,0.94,permitted
QW THZ,z GAK,ACE,DM06,LPGT,probable,probable,yes,no,always,no,no,yes,stormy,0.76,permitted
BA MTA,o OBB,OFE,YO25,MQLT,probable,improbable,no,yes,always,no,no,no,rainy,0.22,permitted
YZ GXJ,z SCK,VRD,TN62,ZRAB,probable,probable,no,yes,always,no,yes,no,cloudy,0.34,permitted
BV MJX,k SLW,FRZ,FW89,EKUC,probable,improbable,yes,yes,sometimes,yes,no,yes,cloudy,0.4,permitted
EF FYF,j NIG,WWE,WJ77,AJKP,probable,probable,no,yes,sometimes,yes,no,yes,cloudy,0.97,permitted
RT QHP,m MWQ,ZAW,OU20,WGGB,probable,probable,yes,no,sometimes,yes,no,yes,sunny,0.62,permitted
caraccess,blacklisted,normal,a2,peak,improbable,probable,no,yes,never,no,yes,no,rainy,0.23,denied
BJ ERO,k AYC,VKM,MG18,HWKJ,probable,improbable,yes,yes,sometimes,yes,yes,no,cloudy,0.95,permitted
EW ZOT,q RQG,PNZ,HU27,IRJH,improbable,improbable,no,yes,always,yes,no,yes,stormy,0.62,permitted
police,normal,luxe,a1,off,improbable,probable,yes,no,sometimes,no,yes,no,cloudy,0.3,permitted
QO SLY,m VTZ,ZMQ,GC22,PLLW,probable,improbable,no,yes,never,yes,yes,no,windy,0.97,permitted
ZL WDN,f PDB,SCT,ZF51,YZCH,improbable,probable,no,yes,sometimes,no,yes,yes,stormy,0.94,permitted
SK XRZ,j KCN,NEU,UV81,YBFB,probable,probable,no,yes,never,no,no,no,windy,0.9,permitted
WP ULS,a UGU,DSP,TA22,XYZX,improbable,improbable,yes,yes,sometimes,no,no,no,windy,0.2,permitted
partner,normal,normal,a2,peak,probable,probable,no,yes,never,no,yes,yes,sunny,0.94,permitted
NB AYE,d CDJ,SEA,NC06,ZCOF,improbable,improbable,no,no,always,no,no,yes,windy,0.97,permitted
FO VXQ,d WZS,RSU,AC88,XRAV,improbable,probable,yes,yes,always,no,yes,no,cloudy,0.76,permitted
IH OGK,p ZZA,EFJ,DM16,FLNB,probable,probable,yes,yes,never,yes,yes,no,stormy,0.51,permitted
PZ VUE,a HPF,ZBL,LR10,IEZZ,improbable,improbable,no,yes,always,yes,no,yes,rainy,0.4,permitted
partner,normal,normal,a3,peak,probable,probable,no,yes,sometimes,no,yes,no,rainy,0.93,permitted
TZ NXF,g RVG,QEH,DA13,SDVK,improbable,probable,no,no,sometimes,yes,no,yes,windy,0.59,permitted
BV BXZ,m QIX,XYC,TF48,JYQF,probable,improbable,no,no,sometimes,no,yes,no,rainy,0.11,permitted
